Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.100.56.120-52.37.91.227-57406-443-6,52.37.91.227,443,10.100.56.120,57406,6,24/06/2019 01:02:13 PM,292,0,4,0,62,0,0,0,0,31,0,15.5,17.89785834,212328.7671,13698.63014,97.33333333,134.8863719,253,15,0,0,0,0,0,292,97.33333333,134.8863719,253,15,0,1,0,0,0,80,0,13698.63014,0,31,18.6,16.97939928,288.3,0,0,0,1,1,0,0,0,0,23.25,0,15.5,0,0,0,0,0,0,0,0,4,62,-1,480,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.120-52.37.91.227-57406-443-6,52.37.91.227,443,10.100.56.120,57406,6,24/06/2019 01:02:13 PM,13,1,1,0,0,0,0,0,0,0,0,0,0,0,153846.1538,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,76923.07692,76923.07692,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.120-34.247.142.70-60682-443-6,34.247.142.70,443,10.100.56.120,60682,6,24/06/2019 01:02:14 PM,538,0,4,0,62,0,0,0,0,31,0,15.5,17.89785834,115241.6357,7434.944238,179.3333333,185.0738591,391,48,0,0,0,0,0,538,179.3333333,185.0738591,391,48,0,1,0,0,0,80,0,7434.944238,0,31,18.6,16.97939928,288.3,0,0,0,1,1,0,0,0,0,23.25,0,15.5,0,0,0,0,0,0,0,0,4,62,-1,320,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.120-34.247.142.70-60682-443-6,34.247.142.70,443,10.100.56.120,60682,6,24/06/2019 01:02:14 PM,36,1,1,0,0,0,0,0,0,0,0,0,0,0,55555.55556,36,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,27777.77778,27777.77778,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,245,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.120-54.246.195.82-59700-443-6,54.246.195.82,443,10.100.56.120,59700,6,24/06/2019 01:02:15 PM,430,0,4,0,62,0,0,0,0,31,0,15.5,17.89785834,144186.0465,9302.325581,143.3333333,175.5401189,346,39,0,0,0,0,0,430,143.3333333,175.5401189,346,39,0,1,0,0,0,80,0,9302.325581,0,31,18.6,16.97939928,288.3,0,0,0,1,1,0,0,0,0,23.25,0,15.5,0,0,0,0,0,0,0,0,4,62,-1,297,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.120-54.246.195.82-59700-443-6,10.100.56.120,59700,54.246.195.82,443,6,24/06/2019 01:02:15 PM,211852,1,1,31,0,31,31,31,0,0,0,0,0,146.328569,9.440552839,211852,0,211852,211852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.720276419,4.720276419,0,31,10.33333333,17.89785834,320.3333333,1,0,0,0,1,0,0,0,1,15.5,31,0,0,0,0,0,0,0,1,31,1,0,-1,297,1,0,0,0,0,0,0,0,0,0,No Label
10.100.56.120-34.247.142.70-60684-443-6,34.247.142.70,443,10.100.56.120,60684,6,24/06/2019 01:02:15 PM,547,0,4,0,62,0,0,0,0,31,0,15.5,17.89785834,113345.521,7312.61426,182.3333333,238.7474258,458,42,0,0,0,0,0,547,182.3333333,238.7474258,458,42,0,1,0,0,0,80,0,7312.61426,0,31,18.6,16.97939928,288.3,0,0,0,1,1,0,0,0,0,23.25,0,15.5,0,0,0,0,0,0,0,0,4,62,-1,320,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.120-34.247.142.70-60684-443-6,10.100.56.120,60684,34.247.142.70,443,6,24/06/2019 01:02:15 PM,216144,2,2,31,31,31,0,15.5,21.92031022,31,0,15.5,21.92031022,286.8458065,18.50618106,72048,110924.2764,199788,50,16306,16306,0,16306,16306,199788,199788,0,199788,199788,0,0,0,0,52,40,9.253090532,9.253090532,0,31,12.4,16.97939928,288.3,1,0,0,0,1,0,0,0,1,15.5,15.5,15.5,0,0,0,0,0,0,2,31,2,31,-1,283,1,0,0,0,0,0,0,0,0,0,No Label
10.100.56.120-54.246.195.82-59700-443-6,54.246.195.82,443,10.100.56.120,59700,6,24/06/2019 01:02:15 PM,370582,0,3,0,62,0,0,0,0,31,0,20.66666667,17.89785834,167.3044023,8.095374303,185291,261988.7193,370545,37,0,0,0,0,0,370582,185291,261988.7193,370545,37,0,1,0,0,0,72,0,8.095374303,0,31,23.25,15.5,240.25,0,0,0,1,1,0,0,0,0,31,0,20.66666667,0,0,0,0,0,0,0,0,3,62,-1,297,0,0,0,0,0,0,0,0,0,0,No Label
10.100.56.120-34.247.142.70-60684-443-6,34.247.142.70,443,10.100.56.120,60684,6,24/06/2019 01:02:16 PM,157460,0,3,0,62,0,0,0,0,31,0,20.66666667,17.89785834,393.7507939,19.05245777,78730,111290.1221,157424,36,0,0,0,0,0,157460,78730,111290.1221,157424,36,0,1,0,0,0,72,0,19.05245777,0,31,23.25,15.5,240.25,0,0,0,1,1,0,0,0,0,31,0,20.66666667,0,0,0,0,0,0,0,0,3,62,-1,320,0,0,0,0,0,0,0,0,0,0,No Label
