Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,SubLabel
172.16.0.1-192.168.10.50-33092-80-6,172.16.0.1,33092,192.168.10.50,80,6,5/7/17 11:11,10564192,8,4,662,11632,662,0,82.75,234.0523446,11632,0,2908,5816,1163.742575,1.135912713,960381.0909,2139247.442,5558434,41,5562867,794695.2857,2101652.873,5560796,205,10600000,3521381.667,3061371.098,5558434,895,0,0,0,0,264,136,0.757275142,0.378637571,0,11632,945.6923077,3216.04476,10300000,0,0,0,1,0,0,0,0,0,1024.5,82.75,2908,0,0,0,0,0,0,8,662,4,11632,29200,237,1,32,942,0,942,942,5558434,0,5558434,5558434,Attack,DOS goldeneye
192.168.10.25-52.0.93.246-49242-443-6,192.168.10.25,49242,52.0.93.246,443,6,3/7/17 9:15,161805,10,5,768,719,533,0,76.8,166.2132499,581,0,143.8,251.6012719,9190.074472,92.70418096,11557.5,21963.79823,54589,33,161805,17978.33333,26438.9138,54622,48,106300,26575,28802.42053,51853,778,0,0,0,0,332,168,61.80278731,30.90139365,0,581,92.9375,187.2664657,35068.72917,0,0,0,1,0,0,0,0,0,99.13333333,76.8,143.8,0,0,0,0,0,0,10,768,5,719,65535,79,5,32,0,0,0,0,0,0,0,0,Normal,Normal
172.16.0.1-192.168.10.50-59346-21-6,172.16.0.1,59346,192.168.10.50,21,6,4/7/17 10:14,9223654,9,15,108,188,25,0,12,9.733961167,34,0,12.53333333,14.54975045,32.09140326,2.602005669,401028.4348,1039902.42,3168899,3,6188042,773505.25,1428029.369,3210619,216,9223635,658831.0714,1283415.593,3168899,3,0,0,0,0,296,488,0.975752126,1.626253543,0,34,11.84,12.69737506,161.2233333,0,0,0,1,0,0,0,0,1,12.33333333,12,12.53333333,0,0,0,0,0,0,9,108,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
172.16.0.1-192.168.10.50-38530-80-6,172.16.0.1,38530,192.168.10.50,80,6,5/7/17 11:13,10856204,9,6,631,11632,631,0,70.11111111,210.3333333,5792,0,1938.666667,2544.918912,1129.584521,1.381698428,775443.1429,1977463.794,5853648,4,5857415,732176.875,2069773.55,5854605,4,10900000,2171231.6,2987827.991,5853648,14,0,0,0,0,296,200,0.829019057,0.552679371,0,5792,766.4375,1749.913711,3062197.996,0,0,0,1,0,0,0,0,0,817.5333333,70.11111111,1938.666667,0,0,0,0,0,0,9,631,6,11632,29200,237,1,32,846,0,846,846,5853648,0,5853648,5853648,Attack,DOS goldeneye
172.16.0.1-192.168.10.50-48264-22-6,172.16.0.1,48264,192.168.10.50,22,6,4/7/17 2:29,14564203,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,326.3481016,3.639059412,280080.8269,756864.6685,2660298,4,12400000,621607.05,1091783.578,2722505,471,14600000,469808.4839,939085.5435,2660298,4,0,0,0,0,680,1032,1.441891465,2.197167947,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
192.168.10.9-72.167.239.239-1427-80-6,192.168.10.9,1427,72.167.239.239,80,6,3/7/17 9:14,1065,2,0,12,0,6,6,6,0,0,0,0,0,11267.60563,1877.934272,1065,0,1065,1065,1065,1065,0,1065,1065,0,0,0,0,0,0,0,0,0,40,0,1877.934272,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0,0,0,0,0,0,0,0,Normal,Normal
172.16.0.1-192.168.10.50-50692-22-6,172.16.0.1,50692,192.168.10.50,22,6,4/7/17 2:54,11851404,22,32,2008,2745,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,401.0495297,4.556422176,223611.3962,609685.9494,2348539,3,9907843,471802.0476,859371.9812,2404752,508,11900000,382299.1613,762742.2004,2348539,3,0,0,0,0,712,1032,1.856320146,2.70010203,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,0,1,88.01851852,91.27272727,85.78125,0,0,0,0,0,0,22,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
172.16.0.1-192.168.10.50-59084-21-6,172.16.0.1,59084,192.168.10.50,21,6,4/7/17 10:12,9638712,9,15,118,188,30,0,13.11111111,11.17412686,34,0,12.53333333,14.54975045,31.7469803,2.489959239,419074.4348,1091474.237,3452417,3,6591952,823994,1527735.953,3495158,3,9638595,688471.0714,1347720.067,3452417,3,0,0,0,0,296,488,0.933734715,1.556224525,0,34,12.24,13.10305308,171.69,0,0,0,1,0,0,0,0,1,12.75,13.11111111,12.53333333,0,0,0,0,0,0,9,118,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
172.16.0.1-192.168.10.50-33328-80-6,172.16.0.1,33328,192.168.10.50,80,6,5/7/17 10:10,4967596,10,1,1386,0,231,0,138.6,119.2878871,0,0,0,0,279.0081963,2.214350764,496759.6,534100.0236,1603971,121,4967596,551955.1111,535394.3289,1603971,415,0,0,0,0,0,0,0,0,0,336,40,2.013046149,0.201304615,0,231,115.5,120.6358156,14553,0,0,0,1,0,0,0,0,0,126,138.6,0,0,0,0,0,0,0,10,1386,1,0,29200,28960,6,32,0,0,0,0,0,0,0,0,Attack,DOS slowloris
172.16.0.1-192.168.10.50-49482-22-6,172.16.0.1,49482,192.168.10.50,22,6,4/7/17 2:41,11975253,23,32,2008,2745,640,0,87.30434783,136.3399611,976,0,85.78125,220.240592,396.9018442,4.592804845,221763.9444,608792.3729,2308222,3,9877767,448989.4091,840313.5682,2364680,379,12000000,386294.5806,767596.9542,2308222,3,0,0,0,0,744,1032,1.920627481,2.672177364,0,976,84.875,186.8396554,34909.05682,0,0,0,1,0,0,0,0,1,86.41818182,87.30434783,85.78125,0,0,0,0,0,0,23,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
172.16.0.1-192.168.10.50-49524-22-6,172.16.0.1,49524,192.168.10.50,22,6,4/7/17 2:42,73,1,1,0,0,0,0,0,0,0,0,0,0,0,27397.26027,73,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13698.63014,13698.63014,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
192.168.10.25-17.253.20.253-123-123-17,192.168.10.25,123,17.253.20.253,123,17,3/7/17 8:58,67925871,6,6,288,288,48,48,48,0,48,48,48,0,8.479832375,0.176663174,6175079.182,19838594.98,65969336,132,67897415,13579483,29312888.18,65997738,28488,67897413,13579482.6,29312921.67,65997792,28345,0,0,0,0,168,168,0.088331587,0.088331587,48,48,48,0,0,0,0,0,0,0,0,0,0,1,52,48,48,0,0,0,0,0,0,6,288,6,288,-1,-1,5,20,1928079,0,1928079,1928079,65969336,0,65969336,65969336,Normal,Normal
172.16.0.1-192.168.10.50-54308-80-6,172.16.0.1,54308,192.168.10.50,80,6,5/7/17 9:57,44,1,1,8,0,8,8,8,0,0,0,0,0,181818.1818,45454.54545,44,0,44,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,22727.27273,22727.27273,0,8,5.333333333,4.618802154,21.33333333,0,1,0,0,1,0,0,0,1,8,8,0,0,0,0,0,0,0,1,8,1,0,229,235,0,32,0,0,0,0,0,0,0,0,Attack,DOS slowloris
192.168.10.1-192.168.10.3-53-60698-17,192.168.10.3,60698,192.168.10.1,53,17,3/7/17 9:02,30675,1,1,41,143,41,41,41,0,143,143,143,0,5998.370008,65.199674,30675,0,30675,30675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32.599837,32.599837,41,143,75,58.88972746,3468,0,0,0,0,0,0,0,0,1,112.5,41,143,0,0,0,0,0,0,1,41,1,143,-1,-1,0,20,0,0,0,0,0,0,0,0,Normal,Normal
192.168.10.1-192.168.10.3-53-60490-17,192.168.10.3,60490,192.168.10.1,53,17,3/7/17 9:06,31265,1,1,50,66,50,50,50,0,66,66,66,0,3710.219095,63.96929474,31265,0,31265,31265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,31.98464737,31.98464737,50,66,55.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,83,50,66,0,0,0,0,0,0,1,50,1,66,-1,-1,0,20,0,0,0,0,0,0,0,0,Normal,Normal
172.16.0.1-192.168.10.50-56392-21-6,172.16.0.1,56392,192.168.10.50,21,6,4/7/17 9:51,239,2,1,14,0,14,0,7,9.899494937,0,0,0,0,58577.40586,12552.30126,119.5,85.55992052,180,59,239,239,0,239,239,0,0,0,0,0,1,0,0,0,64,20,8368.200837,4184.100418,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
172.16.0.1-192.168.10.50-33274-80-6,172.16.0.1,33274,192.168.10.50,80,6,5/7/17 11:11,10354678,8,4,509,11632,509,0,63.625,179.9586758,11632,0,2908,5816,1172.513525,1.158896491,941334.3636,2094936.98,5348862,4,5352229,764604.1429,2022156.938,5350425,4,10400000,3451541.667,2993378.559,5348862,793,0,0,0,0,264,136,0.772597661,0.38629883,0,11632,933.9230769,3217.449105,10400000,0,0,0,1,0,0,0,0,0,1011.75,63.625,2908,0,0,0,0,0,0,8,509,4,11632,29200,235,1,32,846,0,846,846,5348862,0,5348862,5348862,Attack,DOS goldeneye
172.16.0.1-192.168.10.50-56108-21-6,172.16.0.1,56108,192.168.10.50,21,6,4/7/17 9:49,9566142,9,15,105,188,22,0,11.66666667,9.273618495,34,0,12.53333333,14.54975045,30.62885749,2.508848395,415919.2174,1080508.81,3692617,2,6619468,827433.5,1526010.427,3735044,2,9566113,683293.7857,1333806.632,3692617,3,0,0,0,0,296,488,0.940818148,1.568030247,0,34,11.72,12.58146785,158.2933333,0,0,0,1,0,0,0,0,1,12.20833333,11.66666667,12.53333333,0,0,0,0,0,0,9,105,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
172.16.0.1-192.168.10.50-53282-21-6,172.16.0.1,53282,192.168.10.50,21,6,4/7/17 9:28,237,2,1,14,0,14,0,7,9.899494937,0,0,0,0,59071.72996,12658.22785,118.5,88.38834765,181,56,237,237,0,237,237,0,0,0,0,0,1,0,0,0,64,20,8438.818565,4219.409283,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
172.16.0.1-192.168.10.50-60102-80-6,172.16.0.1,60102,192.168.10.50,80,6,5/7/17 10:05,3001200,3,0,0,0,0,0,0,0,0,0,0,0,0,0.99960016,1500600,711842.9824,2003949,997251,3001200,1500600,711842.9824,2003949,997251,0,0,0,0,0,0,0,0,0,120,0,0.99960016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0,0,0,0,0,0,0,0,Attack,DOS slowloris
172.16.0.1-192.168.10.50-49080-22-6,172.16.0.1,49080,192.168.10.50,22,6,4/7/17 2:37,10106134,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,470.3084285,5.244339725,194348.7308,518140.9794,2068217,3,7996798,399839.9,697638.5158,1766085,471,10100000,326001.7097,641977.742,2068217,3,0,0,0,0,680,1032,2.077945929,3.166393796,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
172.16.0.1-192.168.10.50-55030-21-6,172.16.0.1,55030,192.168.10.50,21,6,4/7/17 9:41,9182908,9,15,100,188,21,0,11.11111111,8.767046887,34,0,12.53333333,14.54975045,31.36261411,2.613551176,399256.8696,1038403.553,3280508,3,6386329,798291.125,1477187.271,3323662,3,9182788,655913.4286,1281993.31,3280508,3,0,0,0,0,296,488,0.980081691,1.633469485,0,34,11.52,12.46368057,155.3433333,0,0,0,1,0,0,0,0,1,12,11.11111111,12.53333333,0,0,0,0,0,0,9,100,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
172.16.0.1-192.168.10.50-60082-21-6,172.16.0.1,60082,192.168.10.50,21,6,4/7/17 10:19,8821994,9,15,113,188,25,0,12.55555556,10.32122947,34,0,12.53333333,14.54975045,34.11927054,2.720473399,383564.9565,991410.2412,3139700,3,6155089,769386.125,1408986.706,3182005,314,8821826,630130.4286,1223135.948,3139700,3,0,0,0,0,296,488,1.020177524,1.700295874,0,34,12.04,12.85651586,165.29,0,0,0,1,0,0,0,0,1,12.54166667,12.55555556,12.53333333,0,0,0,0,0,0,9,113,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
172.16.0.1-192.168.10.50-58182-21-6,172.16.0.1,58182,192.168.10.50,21,6,4/7/17 10:05,8328929,9,15,106,188,24,0,11.77777778,9.470715097,34,0,12.53333333,14.54975045,35.29865605,2.881522943,362127.3478,936136.4342,2839829,3,5707170,713396.25,1313900.308,2886394,216,8328815,594915.3571,1154958.85,2839829,3,0,0,0,0,296,488,1.080571103,1.800951839,0,34,11.76,12.63025468,159.5233333,0,0,0,1,0,0,0,0,1,12.25,11.77777778,12.53333333,0,0,0,0,0,0,9,106,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
172.16.0.1-192.168.10.50-53160-1092-6,172.16.0.1,53160,192.168.10.50,1092,6,7/7/17 2:55,45,1,1,0,6,0,0,0,0,6,6,6,0,133333.3333,44444.44444,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,22222.22222,22222.22222,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,Attack,Port Scan
172.16.0.1-192.168.10.50-35928-2800-6,172.16.0.1,35928,192.168.10.50,2800,6,7/7/17 2:54,75,1,1,0,6,0,0,0,0,6,6,6,0,80000,26666.66667,75,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,13333.33333,13333.33333,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,Attack,Port Scan
172.16.0.1-192.168.10.50-47339-1600-6,172.16.0.1,47339,192.168.10.50,1600,6,7/7/17 3:23,64,1,1,2,6,2,2,2,0,6,6,6,0,125000,31250,64,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,15625,15625,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,Attack,Port Scan
172.16.0.1-192.168.10.50-50102-3703-6,172.16.0.1,50102,192.168.10.50,3703,6,7/7/17 2:55,44,1,1,0,6,0,0,0,0,6,6,6,0,136363.6364,45454.54545,44,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,22727.27273,22727.27273,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,Attack,Port Scan
172.16.0.1-192.168.10.50-38690-80-6,172.16.0.1,38690,192.168.10.50,80,6,5/7/17 11:13,10916631,8,6,433,11632,433,0,54.125,153.0886181,5792,0,1938.666667,2544.918912,1105.194451,1.282446938,839740.8462,2057520.627,5914647,1,5918153,845450.4286,2236012.025,5916249,1,10900000,2183323.2,3006526.635,5914647,51,0,0,0,0,264,200,0.732826822,0.549620116,0,5792,804.3333333,1801.127411,3244059.952,0,0,0,1,0,0,0,0,0,861.7857143,54.125,1938.666667,0,0,0,0,0,0,8,433,6,11632,29200,235,1,32,866,0,866,866,5914647,0,5914647,5914647,Attack,DOS goldeneye
192.168.10.14-54.192.37.184-50330-443-6,192.168.10.14,50330,54.192.37.184,443,6,3/7/17 9:15,116429649,23,21,1460,9294,559,0,63.47826087,146.7204731,1460,0,442.5714286,638.3027159,92.36478932,0.377910613,2707666.256,4389370.084,10011365,0,116429649,5292256.773,4950492.045,10040932,3,111228705,5561435.25,5072400.539,10042188,43,0,0,0,0,472,564,0.197544184,0.180366429,0,1460,238.9777778,482.8459423,233140.204,0,0,0,1,0,0,0,0,0,244.4090909,63.47826087,442.5714286,0,0,0,0,0,0,23,1460,21,9294,8192,127,22,20,115518.0833,295117.7533,1052637,29366,9586952.417,1391190.32,10011365,5171296,Normal,Normal
172.16.0.1-192.168.10.50-47942-8080-6,172.16.0.1,47942,192.168.10.50,8080,6,7/7/17 2:54,24,1,1,0,6,0,0,0,0,6,6,6,0,250000,83333.33333,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,41666.66667,41666.66667,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,Attack,Port Scan
172.16.0.1-192.168.10.50-53984-80-6,172.16.0.1,53984,192.168.10.50,80,6,5/7/17 9:58,99999076,2,2,16,0,8,8,8,0,0,0,0,0,0.160001478,0.04000037,33300000,57700000,100000000,69,100000000,100000000,0,100000000,100000000,100000000,100000000,0,100000000,100000000,1,0,0,0,64,64,0.020000185,0.020000185,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6,8,0,0,0,0,0,0,0,2,16,2,0,229,235,1,32,69,0,69,69,100000000,0,100000000,100000000,Attack,DOS slowloris
172.16.0.1-192.168.10.50-56840-80-6,172.16.0.1,56840,192.168.10.50,80,6,5/7/17 9:55,103665525,15,3,2541,6,231,0,169.4,105.7374106,6,0,2,3.464101615,24.56940241,0.173635353,6097972.059,12900000,51300000,97,104000000,7404673.429,13900000,51300000,577,103000000,51300000,28200000,71300000,31400000,0,0,0,0,496,100,0.144696127,0.028939225,0,231,134.0526316,116.8034787,13643.05263,0,0,0,1,0,0,0,0,0,141.5,169.4,2,0,0,0,0,0,0,15,2541,3,6,29200,0,11,32,3705451,5239549.526,7410372,530,19300000,18800000,51300000,5705807,Attack,DOS slowloris
172.16.0.1-192.168.10.50-54416-80-6,172.16.0.1,54416,192.168.10.50,80,6,5/7/17 10:09,20682358,2,1,8,0,8,0,4,5.656854249,0,0,0,0,0.386803091,0.145051159,10300000,14600000,20700000,72,20700000,20700000,0,20700000,20700000,0,0,0,0,0,1,0,0,0,64,32,0.096700773,0.048350386,0,8,4,4.618802154,21.33333333,0,1,0,0,1,0,0,0,0,5.333333333,4,0,0,0,0,0,0,0,2,8,1,0,229,235,0,32,0,0,0,0,0,0,0,0,Attack,DOS slowloris
172.16.0.1-192.168.10.50-59858-80-6,172.16.0.1,59858,192.168.10.50,80,6,5/7/17 10:04,3002719,3,0,0,0,0,0,0,0,0,0,0,0,0,0.999094487,1501359.5,710814.142,2003981,998738,3002719,1501359.5,710814.142,2003981,998738,0,0,0,0,0,0,0,0,0,120,0,0.999094487,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0,0,0,0,0,0,0,0,Attack,DOS slowloris
172.16.0.1-192.168.10.50-53126-21-6,172.16.0.1,53126,192.168.10.50,21,6,4/7/17 9:27,2,2,0,14,0,14,0,7,9.899494937,0,0,0,0,7000000,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,1,0,0,0,64,0,1000000,0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
172.16.0.1-192.168.10.50-41896-80-6,172.16.0.1,41896,192.168.10.50,80,6,5/7/17 11:18,107457233,2,1,446,6,446,0,223,315.3696244,6,6,6,0,4.206324576,0.027918083,53700000,76000000,107000000,48,107000000,107000000,0,107000000,107000000,0,0,0,0,0,0,0,0,0,64,20,0.018612056,0.009306028,0,446,113,222.0180173,49292,0,0,0,0,1,0,0,0,0,150.6666667,223,6,0,0,0,0,0,0,2,446,1,6,410,0,1,32,0,0,0,0,107000000,0,107000000,107000000,Attack,DOS goldeneye
172.16.0.1-192.168.10.50-51178-22-6,172.16.0.1,51178,192.168.10.50,22,6,4/7/17 2:59,107,1,1,0,0,0,0,0,0,0,0,0,0,0,18691.58879,107,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9345.794393,9345.794393,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
172.16.0.1-192.168.10.50-54322-80-6,172.16.0.1,54322,192.168.10.50,80,6,5/7/17 9:59,61,1,1,8,0,8,8,8,0,0,0,0,0,131147.541,32786.88525,61,0,61,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,16393.44262,16393.44262,0,8,5.333333333,4.618802154,21.33333333,0,1,0,0,1,0,0,0,1,8,8,0,0,0,0,0,0,0,1,8,1,0,229,235,0,32,0,0,0,0,0,0,0,0,Attack,DOS slowloris
192.168.10.1-192.168.10.3-53-61335-17,192.168.10.3,61335,192.168.10.1,53,17,3/7/17 9:06,64587,1,1,45,102,45,45,45,0,102,102,102,0,2275.999814,30.96598387,64587,0,64587,64587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15.48299193,15.48299193,45,102,64,32.90896534,1083,0,0,0,0,0,0,0,0,1,96,45,102,0,0,0,0,0,0,1,45,1,102,-1,-1,0,20,0,0,0,0,0,0,0,0,Normal,Normal
172.16.0.1-192.168.10.50-33562-6547-6,172.16.0.1,33562,192.168.10.50,6547,6,7/7/17 2:52,55,1,1,2,6,2,2,2,0,6,6,6,0,145454.5455,36363.63636,55,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,18181.81818,18181.81818,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,Attack,Port Scan
