Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,SubLabel
172.16.0.1-192.168.10.50-53776-80-6,172.16.0.1,53776,192.168.10.50,80,6,5/7/17 9:52,99999396,2,2,16,0,8,8,8,0,0,0,0,0,0.160000966,0.040000242,33300000,57700000,100000000,85,100000000,100000000,0,100000000,100000000,100000000,100000000,0,100000000,100000000,1,0,0,0,64,64,0.020000121,0.020000121,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6,8,0,0,0,0,0,0,0,2,16,2,0,229,235,1,32,90,0,90,90,100000000,0,100000000,100000000,Attack,DOS slowloris
192.168.10.5-122.208.201.226-49243-443-6,192.168.10.5,49243,122.208.201.226,443,6,3/7/17 9:11,10717163,11,14,882,16417,509,0,80.18181818,157.0075273,2920,0,1172.642857,1019.755673,1614.139861,2.332706893,446548.4583,2025167.506,9949652,3,767508,76750.8,89620.24005,199706,133,10546320,811255.3846,2761405.123,9998043,3,0,0,0,0,232,292,1.026391033,1.30631586,0,2920,665.3461538,929.029814,863096.3954,0,0,0,1,0,0,0,0,1,691.96,80.18181818,1172.642857,0,0,0,0,0,0,11,882,14,16417,8192,245,10,20,767508,0,767508,767508,9949652,0,9949652,9949652,Normal,Normal
172.16.0.1-192.168.10.50-62223-911-6,172.16.0.1,62223,192.168.10.50,911,6,7/7/17 2:52,44,1,1,2,6,2,2,2,0,6,6,6,0,181818.1818,45454.54545,44,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,22727.27273,22727.27273,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,Attack,Port Scan
172.16.0.1-192.168.10.50-52656-21-6,172.16.0.1,52656,192.168.10.50,21,6,4/7/17 9:23,3,2,0,14,0,14,0,7,9.899494937,0,0,0,0,4666666.667,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,64,0,666666.6667,0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0,0,0,Attack,FTP Bruteforce
172.16.0.1-192.168.10.50-53866-80-6,172.16.0.1,53866,192.168.10.50,80,6,5/7/17 9:57,101000320,2,2,16,0,8,8,8,0,0,0,0,0,0.15841534,0.039603835,33700000,58300000,101000000,64,101000000,101000000,0,101000000,101000000,101000000,101000000,0,101000000,101000000,1,0,0,0,64,64,0.019801917,0.019801917,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6,8,0,0,0,0,0,0,0,2,16,2,0,229,235,1,32,64,0,64,64,101000000,0,101000000,101000000,Attack,DOS slowloris
172.16.0.1-192.168.10.50-53792-80-6,172.16.0.1,53792,192.168.10.50,80,6,5/7/17 10:02,105002554,2,2,16,0,8,8,8,0,0,0,0,0,0.152377246,0.038094311,35000000,60600000,105000000,34,105000000,105000000,0,105000000,105000000,105000000,105000000,0,105000000,105000000,1,0,0,0,64,64,0.019047156,0.019047156,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6,8,0,0,0,0,0,0,0,2,16,2,0,229,235,1,32,34,0,34,34,105000000,0,105000000,105000000,Attack,DOS slowloris
172.16.0.1-192.168.10.50-48284-22-6,172.16.0.1,48284,192.168.10.50,22,6,4/7/17 2:29,72,1,1,0,0,0,0,0,0,0,0,0,0,0,27777.77778,72,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13888.88889,13888.88889,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,Attack,SSH Bruteforce
172.16.0.1-192.168.10.50-53820-80-6,172.16.0.1,53820,192.168.10.50,80,6,5/7/17 10:02,105002487,2,2,16,0,8,8,8,0,0,0,0,0,0.152377343,0.038094336,35000000,60600000,105000000,107,105000000,105000000,0,105000000,105000000,105000000,105000000,0,105000000,105000000,1,0,0,0,64,64,0.019047168,0.019047168,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6,8,0,0,0,0,0,0,0,2,16,2,0,229,235,1,32,122,0,122,122,105000000,0,105000000,105000000,Attack,DOS slowloris
172.16.0.1-192.168.10.50-33830-82-6,172.16.0.1,33830,192.168.10.50,82,6,7/7/17 2:52,12,1,1,2,6,2,2,2,0,6,6,6,0,666666.6667,166666.6667,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,83333.33333,83333.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,Attack,Port Scan
172.16.0.1-192.168.10.50-53750-80-6,172.16.0.1,53750,192.168.10.50,80,6,5/7/17 10:02,99999750,2,2,16,0,8,8,8,0,0,0,0,0,0.1600004,0.0400001,33300000,57700000,100000000,69,100000000,100000000,0,100000000,100000000,100000000,100000000,0,100000000,100000000,1,0,0,0,64,64,0.02000005,0.02000005,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6,8,0,0,0,0,0,0,0,2,16,2,0,229,235,1,32,69,0,69,69,100000000,0,100000000,100000000,Attack,DOS slowloris
